ID,reviews,sentiment,sentiment,sentiment,sentiment,sentiment
442,装修风格很古典，中国风. 味道还不错，炸肉挺香，黑色的毛肚，很嫩，涮10秒就能吃，最爱吃那个，豆腐也很好吃，没有卤水味道，生吃香香的！鹅肠煮时间长也硬时间短也硬，不好吃，但是装盘有创意！油碟味道不好，没有玉林串串香的好吃，总体很满意！稍微有点贵，68抵100，锅底、小料、饮品不在范围内！,Not Mentioned,Not Mentioned,Negative,Positive,Positive
443,味道一般般 收银员服务态度不是很好,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
444,小龙坎入乡随俗的来到大连后有了许多海鲜，价位上也比成都的高出一倍！其次，服务人员非常敬业，看见大火开着就会把火调小，以至于红油锅底的辣味一直煮不出来，吃到最后才感觉到有一点辣味！总之是性价比不高呀！,Not Mentioned,Positive,Negative,Not Mentioned,Neutral
445,四个人吃了四百多，什么都没吃好，碗筷杯子上都是没有刷干净的红油和芝麻酱，服务态度又差到极点，喊服务员都没有人理，调料在哪还得到处追服务员问，苍蝇到处飞，我也真是无语了，吃个牛蛙，自己看图片哈，没见过皮就这么处理的，剪都不剪给你拿个活的是不？我从不评论的人也不给差评的人第一次给差评，我也懒得打字也说了这么多我就想吐槽，人均一百多我吃你家这个破玩意？跟正宗的成都小龙坎差十万八千里，咋好意思对得起这个名，无语！！！,Not Mentioned,Negative,Negative,Negative,Not Mentioned
451,都是肥肉块子，难吃的要死收银员态度差的一批,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
459,还不错。不过好辣，好贵,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
460,酥肉是美团团的到最后还收我钱了？？而且我现在和朋友说这事才反应过来？？？当时服务员和我说下面显示的总额是不算那9.9元的，不算9.9尾数还能是九毛？然后还显示减去一毛变成了425？？？怪不得你家服务员推荐我团这个呢，能多收十块钱？？去你家这么多次了，跟我闹呢？。,Not Mentioned,Negative,Neutral,Not Mentioned,Not Mentioned
461,红油火锅底料还是可以的，没什么人，血贵，菜量少的可怜,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
472,贵就一个字我只说一次～ 成都3人吃了220，大连3人吃了490_(:з」∠)_点的东西都差不多喔，神奇的物价差，神奇的大连市，神奇的成都真是个好地方！味道感觉没有成都的辣，心理作用？反正挺好吃的，钱包够鼓就会常去??,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
475,第一次吃小龙坎火锅，没想到竟距离逗号公寓这么近，店面当街，店外很安静，店内装修有川蜀范儿，还有娃娃机和街机。点的太极锅底，一半微辣，一半番茄，微辣已经很辣，但有牛油香味，番茄汤汁不够浓郁。菜品价格较高，不过特色鲜明，肥肠结、玫瑰??丸子很不错，血块也很新鲜。我们桌上方的空调风力太大，吃着火锅都感觉很冷，人家吃火锅驱寒，我们吃火锅差点感冒。,Not Mentioned,Not Mentioned,Negative,Positive,Positive
480,锅底有点偏咸，可能是为了卖酒水吧！在外面排位了好长时间，没有想象中那么好吃，感觉也就差不多,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
481,价格贵的离谱。。。比南方的小龙砍要贵太多！除了霸王牛肉其他肉一律不要点 听我一句劝 不是没尝试过 太难吃了 都没有肉味不知道怎么做到的 刷锅还能做到难吃。如果想尝试只点霸王牛肉就可以了 其他都是在浪费钱！相信我~,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
482,差评因为太贵了 有南方朋友说他那边的小龙坎是这里价格的一半，不仅这样，味道也跟南方那边比不了，大打折扣。4个人没点多少打完折还300多真的不便宜。没有什么性价比可言。。。不会再来 彤德莱一样可以吃很好~,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
483,贵，好吃??喜欢??第七八次来了，一如既往??,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
489,离开重庆多年了，吃过很多家火锅，只有小龙坎让我找到了以前那个熟悉的味道。唯一无法和重庆成都相比的是分量少了很多……,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
493,我在成都吃过，排了三四个小时的队，当时第一次吃，辣的吃了几口。大连这家味道一样，这次知道点微辣的了。 锅底浓郁，一定要配豆奶，香浓的豆香十分解辣。 推荐鸭肠 牛肉 巴适 很好吃。贵的值得。没吃过的可以去感受。,Not Mentioned,Negative,Negative,Not Mentioned,Positive
499,"冰球鹅肠       太垃圾
极品鲜毛肚   好
黄喉              垃圾
鸭血              只能呵呵",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
507,真是我吃过最难吃的火锅，要的最辣的感觉没味道，那个川粉像个象皮糖，养生肥牛更恶心，七八快大肥肉，还都是冻得，不是现切的，想退了或换别的，服务员一问三不知，但是态度都很好，有个穿衬衫的女领导过来，那脾气赶上她是上帝了，ji***ren 东西非常贵，量也非常少，这辈子都不会在去，成都在心里瞬间都大打折扣，丢人，估计好多人都奔着名字去的吧，太次，就这样早晚得关门。,Not Mentioned,Positive,Negative,Not Mentioned,Negative
510,"盛名之下难副其实，抱着满满的期待去了小龙坎，失望而归，满满槽点不知从何说起，就按照顺序来吧
点的红白锅底，据说是牛油锅底，要了中等的辣度，等到上来的时候我看着清清淡淡的红汤，嗯，也许措辞并不准确，但是我第一次见到这么清淡的牛油红锅，味道清淡，不辣不咸不腻，作为清汤满分，但是他确实是辣的，这点就很迷了。
再说下菜品，薄如蝉翼的鸭肠，过于巨大的鸭血，碎碎的毛肚，相比于大连其他同类火锅的同类菜品，量少价格却贵了，性价比低。
总之，满心欢喜而去，败兴而归，吃了一顿没滋没味可能正宗却不好吃的火锅，这次之后不会再去，就酱。",Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
514,味道很好 比较推荐 在大连来说算是比较正宗和好吃的火锅了 就是价钱比较贵 性价比不高。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
515,五个女生吃的不是很撑的那种。是连锁。因为之前在家里那边经常吃。觉得味道不错才去的。有点失望吧。菜量很少。而且价格偏高。菜品的种类也比家里那边少了很多。可能大连吃火锅本来就比较少吧。。。不会再去吃第二次。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
517,味道可以，因为去过成都吃火锅，觉得价格要贵出很多,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
519,装修和火锅味道跟成都的都是一样的。地道的成都火锅！说两个不满意的地方，第一，太热！吃火锅如果空调不给力真的很遭罪，全程汗流浃背，有的男顾客都脱掉上衣了。第二，排队等候的时间询问服务人员有没有芝麻酱，回答说有，但是坐下之后跟服务员点了芝麻酱，服务员说没有，我知道正宗的火锅是吃油碟，但是我个人还是喜欢芝麻酱的吃法，服务人员说法有出入，我不知道是你们没有培训好还是怎样？团购之后两人花了390，相比较，我还是喜欢蜀九香。,Not Mentioned,Negative,Neutral,Negative,Positive
520,挺好吃的  人多  价格有点小贵  总体挺好的,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
521,味道还行，就是最后前台买单时一直在聊天,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
522,去之前期待高，去之后有点失望。锅底要的中辣，一点都不辣，爱吃辣的可以要特辣。中午去的时候快11点，算是第一桌，刚开始一个服务生小哥态度很不错，也很热情，后来陆续来了些人，大概厅里坐了一半人，三个服务员居然不够忙？叫服务员总是要叫三四遍，自助蘸料的麻酱吃到一半才上，汤底都要干了，催了几遍才来给加。油碟味道一般，感觉不如别家，必点的有芭比娃娃那个牛肉吃起来有点柴，菜量倒是还可以，可是性价比真的不怎么样，总之不会再来。,Not Mentioned,Neutral,Negative,Not Mentioned,Neutral
524,吧台不好,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned
529,给三颗星，是因为前台收银员态度差！我问你一句团几张代金券，一脸不耐烦，我问你为什么是一张也是不耐烦的把账单给我看？？？？你的职业态度呢？望十一我再去的时候能有所改进！最后，菜品还好，但是和成都的真是没法比……,Not Mentioned,Negative,Neutral,Not Mentioned,Positive
533,点的最辣锅，还可以。就是有点贵。就是锅底酒水不算在这个优惠券里,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
534,菜品没特色，量少价格还贵，除了人多之外没有任何理由想再去第二次了！大家去消费慎重吧,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
535,除了有点贵 两个人吃了四百 都挺好,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
537,实在是忍不住吐槽，39一份推荐的酥肉又油又难吃，而且并没有多少肉，肥羊肥牛全是碎的，鸭血外面居然是裹了腐乳一样的东西提色，亲眼看着擦过全是油的桌子的抹布又擦了我的凳子，服务员的态度更是你随意，就酱，不会再去,Not Mentioned,Negative,Neutral,Negative,Negative
538,确实很贵  而且很辣   味道感觉一般 而且表演也就一会  去的早没排队   觉得美团也剩不了多少钱,Not Mentioned,Positive,Negative,Not Mentioned,Neutral
539,"这也太火，排队，排那么久还没到我门，馋的我都不行不行的啦，连变脸都没看见，
美女必点那个肉特别好吃，
建议下次再次把那个汤料多煮一会，越煮越有味，越来越好吃，以后特别好吃。",Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
541,成都火的不要不要的小龙坎，在大连就可以吃到啦，开业当天就去了排队人那个多，装修的有特色，火锅相当好吃??，油碟我们有点吃不惯，但也好吃，牛肉很嫩，喜欢吃，上面小锅不辣煮的面条给孩子吃很棒，还会去的??,Not Mentioned,Negative,Not Mentioned,Positive,Positive
544,味道不错，就是服务员上菜总出错,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
546,太差了 ，特别是服务 ，希望店家注意，再这样下去真不好,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
547,味道也还好 服务跟不上 速度很慢很慢  不划算,Not Mentioned,Negative,Negative,Not Mentioned,Neutral
548,最不好吃的重庆火锅，假的小龙坎,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
549,味道还可以，可能是开业第一天，人太多，服务没有那么到位。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
553,优惠挺大~但是弄虾滑时候给我溅了一身油汤,Not Mentioned,Not Mentioned,Positive,Negative,Not Mentioned
554,停车太难了，停下了，吃一半，又说警察来了，得贴条，门口保安也不管，搞不清他俩保安和饭店是不是一家，反正保安不管你停车的事。门口等了半个多小时，才确定警察不会贴条了，按保安的说法：我们管不了!,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
556,菜的质量很好，量不大，价格也贵，味道不错，可以试试,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
557,服务超级差，呵呵,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
561,非常好吃的火锅，去晚了要排队。我们四点去吃的。除了价格偏贵没毛病,Not Mentioned,Neutral,Negative,Not Mentioned,Positive
562,够味道 五点半去排队六点多才进去 有变脸表演 环境不错 辣的很有感觉,Not Mentioned,Negative,Not Mentioned,Positive,Positive
563,真的是乘兴而来败兴而归，价格贵，不好吃不说，管理乱作一团，刚刚下单感觉点多了立马告诉旁边服务员，服务员不是专看几桌，一会来一个，告诉了有四五个服务员，过了好多一会东西还是上来了。。。。,Not Mentioned,Negative,Negative,Not Mentioned,Negative
565,好吃，比较不错，酒水和汤底不能够用代金券抵扣～,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
567,价格偏高。功夫腰片是什么鬼！！？大坑,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
569,服务不到位，卫生差。锅底里面肯定兑水了，都结不成冻，没有连锁店该有的样子，锅底价格也不一样。,Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned
570,"味道一般还可以……就是太太太太贵了……小酥肉真心不怎么好吃，还特别少39,真敢要价啊……",Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
571,一直蛮喜欢小龙坎的 出来旅游也专门找了地方去吃 结果很坑的感觉  菜品偏贵  一盘青虾就6只  俩人吃了240 还是美团券的价格  不过味道还不错  就是小料种类很少,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
572,味道可以，就是贵了些，性价比有些一般。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
573,总体不错，值得一吃！霸王牛肉，小龙豆腐，极品鲜毛肚，玫瑰团子，黑片鱼，红糖糍粑真的很好吃！服务员很热情的！上菜也很快。味道真的超好吃，还会再来的！价格有点小贵，希望能多多优惠活动??,Not Mentioned,Positive,Negative,Not Mentioned,Positive
576,一般，不值人均的这个价，不过总体来说还可以吧,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
577,服务员服务态度很差啊，尤其是大江东去那个服务员。弄虾滑说了半个小时，答应了。玩乌龟也不办事,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
578,真的是太差了  服务态度也不好  菜品也不合口  比如豆腐皮 给的特别多 肉给的就特别少 千万不要抱着试试看的想法去吃 你绝对会后悔,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
579,味道不错 服务太差,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
581,竟然吃出了毛发…,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned
584,实在太难吃、太咸了、牛肉肥的基本看不见瘦肉、服务也太差！实话实说！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
585,太难吃了 比渝香火锅差太多,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
586,结账服务太差！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
588,菜品口味很棒 服务态度好 美中不足 翻台多 卫生清洁不够 桌椅油腻,Not Mentioned,Positive,Not Mentioned,Negative,Positive
590,点的特辣都没有成都微辣 辣，为什么要添汤加那么多水呢，都没有味。价格很贵，不会再去了。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
591,收银台服务态度差 开发票麻烦还让客人自己上楼去开,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
596,人特别多，但并不好吃，服务员累的没有休息，也不爱搭理顾客，碗碟明显刷不干净，可能太忙了，体验较差,Not Mentioned,Negative,Not Mentioned,Negative,Negative
603,味道一般，不知道为何这么火 价格贵,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
605,一般，酥肉差，有头发。锅底没有4斤牛油啊！不会再来,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Neutral
608,收银态度不好,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
609,服务态度很差差,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
617,味道还不错。希望多加些菜品。提高服务质量。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
618,味道还好，价格很贵，四个人花了七百,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
619,价格不便宜，两个大人，一个小孩，差不多要300块,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
621,杯子太贵，千万别打碎,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
625,味道一般般，东西贵，服务员态度很差，不会再来了,Not Mentioned,Negative,Negative,Not Mentioned,Neutral
627,服务不好,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
628,服务员态度不好，菜品一般般，下回不会再去了,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
633,大连的比成都的贵30%，味道还不错,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
660,服务态度一般，菜品小贵！！！！！！！！,Not Mentioned,Neutral,Negative,Not Mentioned,Negative
662,量少,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
