编号,发帖人_编号,题目,题目字数,内容,内容字数,昵称,车系,地点,时间间隔,空间密度,空间评分,动力密度,动力评分,操控密度,操控评分,能耗密度,能耗评分,舒适性密度,舒适性评分,外观密度,外观评分,内饰密度,内饰评分,性价比密度,性价比评分,视频数,上下班,购物,接送小孩,自驾游,跑长途,商务差旅,越野,约会,赛车,拉货,网约车,组车队,改装玩车,支持,浏览,评论,里程值,精华帖,主贴,关注,粉丝,车辆匹配
284,4895327,让我着迷的情怀，大白。,11,静，动力强，气场足。派头够。大，停车场左右就位困难。。大罗，还要再讲吗？。有别于涡轮增压机的急速，不着急。淡淡定有钱剩的松茸。舒服动力平顺性：4.3的机头，还要问动力。静到9000转，一只银币还可以站立住不倒下。太大，有时睇位难。刹车性能ok只是有时车身自带重，要大脚点先自觉安全，这是照顾后排的老板所设计。高速友善，市区不计较油耗我会开得顺心顺意点。A级享受。霸气，气场十足。我还是有点喜欢机械我。13年后我们的相遇来得刚刚好。喜欢你是不需要太多不必要的理由,230,1,雷克萨斯LS,广州?,12 ,9,5,68,5,47,4,21,3,4,5,7,5,10,4,14,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,5,6056,2,4560,0,0,30,17,0
285,12607497,"油耗低，提速优秀，动力强舒适度上乘，车内静,工精致空间宽敞",29,"上高速跑了100多公里，平均油耗10.3升,市区一般13-14。对于2.4吨车油耗表现相当优秀了。。轮毂R17太小，应R18配这车大气相适应。。空间宽敞。动力足够强劲。转向清晰，指向精准。上高速跑了100多公里，平均油耗10.3升,市区一般13-14。对于2.4吨车油耗表现相当优秀了。。舒适度上乘，车内无噪音。沉稳大气。内饰造型耐看 做工用料优，内饰半苯胺皮革和胡桃木的提升了豪华感，中控台的按键布局整齐，手感出众，车内的配置丰富，相当人性化。。性价比高。0",230,1,雷克萨斯LS,佛山?,106 ,4,5,6,5,9,5,49,5,11,5,4,5,62,5,4,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,52,74576,2,550,0,3,7,9,0
286,1373654,实现用车梦想。文革年代，以为这是人生奢望、只待来生来世。,28,LEXUS LS 好车，美观大方、舒适大器，动力十足，四平八稳。。国内养个车太费钱，停车困难，各种收费居高不下，纳税最多，却处处招人嫉恨。投胎是门艺术活。。足够宽大。需要的时候就能汹涌澎湃。随心所欲。百公里油耗13-15升，有钱你就任性吧。听着秒针滴答的声音，感受静谧的温馨。珍珠白加传统方圆的造型，本人的最爱。。桃木真皮，无可挑剔。有钱你就任性吧，人生就这一回。唯一爱车,186,1,雷克萨斯LS,广州?,3369 ,4,5,11,5,4,5,19,4,17,5,18,5,9,5,14,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,32,68373,6,1640,0,3,52,48,1
287,20974309,值得信赖的品味之车！,10,舒适是最满意的！。没有不满意的。比较平衡！。一般够用。。0。感觉还可以！。满足预期。满意不错！。可以，一个时代的经典！。一般！。还是偏高。多年前开了一辆95年上牌的LS400，在当时使用过程中就感觉开着很舒适，容易上手。车也没什么毛病，虽是一辆老车但质量还是让人放心！印象深刻，外观耐看，喜欢这种外型！去年底突发奇想找辆老车开开，找一下感觉，看全国各种车型，看了几个月看评论，又去看实车，一个偶然机会了解到LS400还有千禧版，又去研究千禧版又去全国寻千禧版，带着老婆女儿去旅游边找千禧凌志400。最后找到爱车，细心呵护着成为精品！,266,1,雷克萨斯LS,温州?,109 ,5,5,1,3,6,5,4,3,5,5,11,4,3,2,4,2,0,1,1,1,1,0,1,0,0,0,0,0,0,0,18,18876,1,3090,0,9,23,30,1
288,25199896,我的Ls400绝对精品，平时车库休养，只用于偶尔出门跑长途用。,31,"内饰豪华舒适，外表四轮加大加宽霸气，陆地上的航母！。车船税太高。内饰完整，功能齐全，真皮电动坐椅，原车播放器。。v型8缸发动机，待速400转，高速轻松160迈。。方向轻松精准，换挡轻松，悬挂太好，。高速12个左右油，城区16左右。非常满意！。真皮座椅非常舒服，隔音效果特好，音响效果特好。。外表是我最好喜欢的，风阻2.7，加上另配18寸加宽轮胎，超级完美。。内饰完整崭新，只是中控相对简单，夜光不足。。当年过百万豪车，如今不到6万元到手，手续齐全性能超好，非常满意！。我有黄冠133,再入手Ls400感觉是让兄弟团聚！",259,0,雷克萨斯LS,惠州?,316 ,23,5,24,5,17,5,21,5,23,5,33,5,21,4,32,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51,46081,12,1100,0,0,0,7,1
289,18117854,LS500H真正的驾驶感受。,14,驾驶兴趣特别高，内饰颜色，做工，后排座椅倾斜45度，商务，家用都不耽误。。后排空间只能说够用，中控台下面没有摆放手机的地方，没有车载冰箱，中控储物间也不大，。后备箱，车乘坐空间：我身高穿鞋子1.82，坐在驾驶位调制最好驾驶位置，我头离车顶只有一指那么高。家人乘坐评价：我母亲对这个车最满意的地方就是后排座椅舒服，可以倾斜，有腿托。。绝对够用，买这样的车就不是为了飙车。方向盘轻盈，刹车有点皮，悬架调教很好，舒服，我上车就是comfort模式。城市高速油耗综合8点多，很满意。因为我还开着5.7的陆巡。。座椅很舒适，车内噪音这块做的特别好，悬架减震很舒服。。车灯绝对没话说，行政的轮毂帅的一笔，外观看着绝对犀利大方没话说。刚贴的车衣，没来得及刷车，。我很喜欢内饰设计风格，而且切子版本确实看着舒服多了。中控很多都是软的，暂时也没有听出来任何异响，很多人说这个系统不好用，我第一时间感觉也是不太好用，后来我把鼠标速度调制最低用着就顺畅多了。不过语音系统很强大，开车时候也不需要用手操作。。性价比应该就是后期的保值率吧。。本来打算去买ES300H行政，结果去4s点里面发现气味特别大，中网太丑。随后没有看过任何车，就是想去了解雷混的因为家里面全部都是传统的汽油车，而且开时间长越野车想开开轿车。,544,1,雷克萨斯LS,郑州?,33 ,86,4,17,5,36,5,29,5,26,5,45,5,117,5,15,5,0,0,0,1,1,1,1,0,0,0,0,0,0,0,30,32228,11,3200,1,12,192,694,1
290,54487893,凌志18款LS500h用车感受,15,动力突出，加速很快，外观造型内饰都很漂亮，看着很舒服，上档次，一些功能设计都很人性化。没什么不满意的。后排稍微小点不过坐着很舒服，驾驶员一米七体重二百斤，后排再坐个我也很舒服，没有拥挤的感觉乘坐空间：后排长期坐只能坐两个人，应急可以三个人。中间有凸起坐着不舒服放行李：因为有电池，后备箱较小，不过日常够用。因为后排是行政座椅，所以不能放倒，所以不能拉大件货物。。车身较重，不过动力很足，3.5自吸加混动很棒，百公里五秒多，很棒。模拟十档加速平顺，没有顿挫感。跑高速：跑高速自适应巡航很好用，车身很稳，长时间开车也很舒服，并没有感觉很累百公里大概七八个油。。很棒，开着没有开大车的感觉。过弯很稳，悬挂软硬适中，总得来说偏向舒适。。市内我开车较猛大概十个油。不过相对2.3吨的自重我觉得这个油耗可以接受，也有车友可以开到七八个油的，不过我做不到。。对细小振动过滤稍差其他没问题座椅舒适性：座椅调节项非常多，很舒服，指压按摩非常棒。后排行政座椅躺着很舒服。。外观不用说，D级别车最好看的。。非常喜欢的内饰，石墨丹砂和白外很配。就是没订到凌光切子衬鹤羽折布。。顶配128.8万，应该是性价比最高的了，除了品牌不如奔驰，其他都是最好了。。应该是D级别车里最适合年轻人的，后期维护成本低，买了延保，总共十年二十五万公里保修保养。,558,1,雷克萨斯LS,大连?,52 ,129,4,96,5,35,5,57,5,53,5,15,5,33,5,37,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,169,268953,104,6680,0,4,13,7,1
291,11365006,舒适性能兼顾！无忧无虑用的开心！8年20万公里超长质保）,28,"百公里油耗（城市）不超9升！！！。车长5235mm,我希望5米以内。（不过还好车有整体主动转向系统,操控起来比较灵活）。主要是自己开！对后排空间无要求！实际虽说比奔驰S差点，还是够用了。。这么大的车百公里加速时间仅需5．4秒，高速加速还真是动力源源不断！。低速刹车轻，高速刹车重你们说好吗！车配可变转向比和整体主动转向系统再加5.4秒的百公里提速，操控起来没的说！。高速公路7．9城市道路8．9达到预期（官方给的是6.8）。基本用舒适模式，过减速带平稳振动小，如果不是防爆胎那效果更好！。车灯设计：Z字型大灯配上凶悍的大嘴！再加上20寸钢圈！完美！前轮245/45 R20配普利司通轮胎的大脚后轮275/40 R20配普利司通轮胎的大脚Z字型大灯凶悍大嘴。红色运动座椅非常漂亮！质感非常好!车内应该是真皮植绒很上挡次！运动加红就是完美运动红异味异响：车用料很好，新车基本没有怪味.做在车里非常安静，仪表中控：仪表盘中控台方向盘非常协调，方向盘大小手感很好！仪表中控恰到好处！有人说小，不信你从方向盘看过去你只看的到这么大！再大也被方向盘挡了!。基本该有的配置都有了：最有用的如空气悬挂,底盘升降,电动吸门,车道偏离预警系统,主动杀车/主动安全系统,全景摄像头,自适应巡航,抬头显示,自适应远近光灯等等......。首先定的奔驰AMG-E43,最后提车说要加5万就放去了！LS现车不加价、性能也达到要求，所以选择了它！",608,1,雷克萨斯LS,昆明?,71 ,33,4,33,5,54,5,28,5,31,5,83,5,143,5,84,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,149,269512,94,32130,0,1,121,18,1
292,6632793,LS500h行政版,9,外形，内饰，动力，驾驶感受。要是能有四驱就锦上添花了，还有人机交互系统真的是太保守了。。空间只能说够用 前排还可以 后排一般吧。和主流大型车有差距。。动力深厚，开着舒服不累。。本身就是为了自己开，操控很好。久开不累。3.5的排量 享受着2.5的油耗 可以。目前开过最舒服的车了，比LX570还舒服。。本人很喜欢。触感和氛围都特别棒。感觉还是豪华性价比好些，不过为了这套内饰上了行政。。看好后期的维护保养省心，外形内饰都深得我心，还有想尝试一下混动 ，然后就选了这款。,233,1,雷克萨斯LS,烟台?,34 ,30,4,12,5,19,5,19,5,21,5,5,5,9,5,25,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2518,0,35540,0,45,7,26,0
293,11695043,雷克萨斯LS350,9,外观挺满意的，内饰也很豪华，我对空间没有什么要求，够用就可以了，而且不喜欢太高调，虽然这车也不低调了????。车内储物空间不是很多，手机经常没地方放。我身高192，乘坐完全没问题，前排，后排，后备箱空间都完全没问题，就算前排是我坐，后排再坐个身高跟我一样的人也没什么问题。储物空间：扶手箱容积是挺大的，但是没有一个随手放手机的地方，这点比较尴尬，每次都只能放在水杯架里，或者门板水杯架里。。我买的是350，动力我觉得是完全够用了，3.5自然吸气，316马力，380牛米，带个2吨左右的车完全够了。。我对操控没啥概念，感觉都差不多，都说宝马的宝龙好，开起来跟我同事的5系差不多，毕竟5米2的车，舒适性是我第一考虑的。。我现在开的不多，上过一次高速，高速油耗9个左右，城市道路的话11个多吧，我同事的5系2.0T的低功版本，都要14个油，不过这个跟驾驶习惯有很大关系，我开车比较温柔，各位就当做个参考吧。。舒适性这点雷车不输同级任何车型的，这点也是我是看中它的点之一，隔音，避震的过滤，地盘的厚重感都很不错，座椅也很舒服，可能我人高，开别的车，不管SUV还是轿车，腰都会不舒服，开这个车完全没有不舒服。。外观低调，外观低调，外观低调，重要的低调说三遍，哈哈，不过这一代LS的外观已经不算低调了，只能说品牌很低调，现在路上都是奔驰宝马奥迪，老婆喜欢新A8，我花了很长时间来说服她接受了LS，现在问问老婆，她说其实是在外观的很多小细节上面让她接受的，尾灯上的小设计，可以降低风阻（看来女人都是注意细节的）。我的内饰是黄水晶棕跟至榛，比较居家的颜色，看着很温馨，这个颜色是我老婆选的，当时去常隆看车的时候展车也是这个颜色，先入为主了，不过雷车的做工真的是一流啊，鹤羽折布跟凌光切子（是这么写的吧），可惜米不够。不过这个绒布的也很舒服。我觉得这个没得比啊，雷车一项就秒杀同级竞品啊，4年10万公里免费保养，雷车的售后、服务都要比BBA好太多了，配置上面差别不大，马克莱文森音响谁听谁知道！最近在找08 09年的is300，带马克莱文森跟不带马克莱文森的价格差好多。同级里面都是8速9速，这车是10速，还是AT变速箱，稳定性各方面比双离合好太多（自从以前开了大众的DSG之后，我对双离合一直不是很感冒）。外观低调，驾驶感舒适度都还不错，动力也完全够用，而且后期雷车的保值率很高，质量稳定，同事老爸04年的RX还在路上跑，常规保养，一直都没出什么问题，这点我很喜欢。,1025,1,雷克萨斯LS,无锡?,9 ,119,4,53,5,58,5,92,5,98,5,148,5,112,5,182,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,224,252393,75,6480,0,14,25,15,0
294,48711259,扎实轻盈宽敞平顺,8,稳、顺畅、动力充沛。硬找出一个同时也是优点的缺点：车身偏长了一点。乘坐空间宽敞，但储物空间不足，手机都没地方放。动力平顺性没得说。也没开过更好的车，所以开了几天感到千好万好，起步虽没有原来的萨博溜但舒适性平顺感远胜萨博，体会到了传说中的动力源源不断是啥感觉。不太注意油耗，开的时间也不长，没啥感受。座椅空调啥的没啥感觉，悬架确实不错有种厚实感，不知用厚实描述对不对悬架减震舒适性：过减速带坑洼等的感觉全面好过以前开的萨博。车身身材不错，但前脸设计好像有点太过刻意，对我来讲我更中意辉昂和凯迪拉克那种简洁大方。新车基本无异味难能可贵，大面积皮饰可能有那么一点豪华感。虽然全面感觉不错，但落地80万大洋还是感觉有点贵，毕竟也没什么特别的性能。不过啥车都比国外贵不少又咋办呢，只能说可能是中国人民太喜欢挨宰了吧。老车萨博2.8T满意地开了十年，因此换车时比较注重动力和操控性，18年底就开始物色新车，刚开始虽然也有听说过雷克萨斯的质量但嫌弃ls长的有点夸张基本上没怎么上心，比较中意过的几款V63.0T顶配车型有辉昂、卡迪拉克CT6、林肯大陆等，但都因价格货源混乱没得到过靠谱确切的答复的原因迟迟没买成。本来谈了一款林肯去签合同的，但快签字的一刻，经销商突然又说是一年多的库存车于是当场放弃改买了现在的这款ls全系最低配。之所以最低配一是因为预算原因二是对电混不太放心听说还有瑕疵，不如自然到底。,595,1,雷克萨斯LS,上海?,22 ,22,5,8,5,63,5,19,5,61,5,42,5,27,5,70,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22,13280,3,5350,0,0,17,11,0
295,184854897,这个开豪车的感觉就是不一样！,14,"满意的地方还是挺多的，首先是外观豪华大气！内饰配置也很丰富，动力也非常给力，汽油 48V轻混系统的配备动力和燃油经济性都兼顾了！驾驶起来也是超级省心，空间也是非常的大！。内饰配置挺全的，驾驶辅助功能也比较多，就是内饰的颜色不是很喜欢，虽然做工都不错，但整体看着没有档次感。。车身长5466mm，宽1899mm，高1500mm，轴距3365mm,这个空间是非常大的，我一米八，也是个胖子，坐在前排的感受是非常好的，座椅本身坐着就很有包裹性，头部和腿部还有将近两拳的距离，后排躺坐都行。后备箱空间也是非常大。。动力充沛，车上搭载的是一台3.0T双涡轮增压发动机加48V轻混系统，最大功率367匹，最大扭矩500牛米，搭配9挡手自一体变速箱，开起来的感觉是加速特别明显，很轻松的就就能达到强劲的动力。动力输出也没有顿挫感。。真皮包裹的多功能方向盘，指向精准，转向也很准，底盘的舒适性也很高，悬架有高低软硬调节功能，在通过连续颠簸的路面时差不多隔绝了所有的震动，不同的路段它的操控表现也是不同的。倒车入库也能通过遥控器操作，非常有科技感。。油耗还可以，当时买的时候说是工信部油耗在8.4升，实际上我开了也有一个月了，自己算了下平均下来每百公里油耗在10升了，有的时候还要低点，这还是能接受的。。真皮座椅的舒适度非常好，有包裹性，主副驾驶座椅都有多向调节功能，加热通风功能都有，反正是怎么舒服怎么坐，第二排座椅也可以调节，坐后面的话舒适度也很高。底盘的舒适性也很高，在通过连续颠簸的路面时悬架差不多隔绝了所有的震动，车在行驶过程中的舒适性非常好，车内隔音降噪做的也很好，像现在开车空调一开窗户关上外面的噪音几乎是听不到的。。外观豪华大气，全新保险杠下部饰有更多的镀铬元素，优雅舒展的拱形车顶轮廓线营造出空间感，尽显自信大气的风范，超大的轴距，将车身动感优雅的气质展露无遗，后端设计看着有种霸气自信的凌厉风格，充分展现了这款车的动力和强大的动态性能。。内饰配置丰富，两块12.3寸的大屏，不管是显示效果和功能都非常好，配置都很实用，还可以通过车内空气调节组件根据自己的喜好营造芳香四溢的怡人氛围，我一般调的都是淡淡的香味，另外，很多辅助功能也有驾驶起来也有安全感。高端3D环绕立体声音响效果也非常好。每次打开音响系统就像在听演唱会一样。唯一不太满意的就是内饰的颜色不是很喜欢，虽然做工都不错，但整体看着没有档次感。。车价是不便宜的，反正就是根据个人能力来看吧，我是很喜欢这款车的定位，比较适合我！价格贵点就贵点，开着带来的成就感还是很不错的。。有几点原因，首先是外观豪华大气！内饰配置也很丰富，动力也非常给力，汽油 48V轻混系统的配备动力和燃油经济性都兼顾了！驾驶起来也是超级省心，空间也是非常的大！家用也好还是谈业务接客户，这个车的舒适度都是非常好的。",1172,1,迈巴赫S级,重庆?,66 ,115,5,105,5,106,4,76,5,163,5,112,5,181,4,63,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,37,98230,34,2000,0,0,2,2,0
296,22026911,外观大气上档次，后排比较舒服，高速隔音还可以,22,最满意的就是外观大气上档次，接待一下客户还是有一点档次的，直六的发动机带48V轻混起步确实比老款的轻松，声音也小，几乎听不到声音。奔驰的品控越来越差了，上一个车是18款的奔驰S级，就是有异响，后备箱经常自动开，别的问题都没有，这个迈巴赫典藏版，外观还可以，内饰做成全黑的，缺少档次感，车顶也是全黑的，就不能用米色内饰吗？目前为止提车半个多月了，就遇到两个问题，一个是空调不能制冷，也不是天天都不能制冷，就是隔几天会发生一次，这个大热天的，要是遇到空调不制冷人都要中暑的，4S店师傅又找不到问题，只是让我先开，下次遇到空调不制冷直接开到4S店，还有一个就是中控屏幕黑屏死机，去4S店升级了一下，暂时还没有再发生过，还有一个就是配置太低了，还不能选装，上路快170万的车子ACC都没有，实在是有点说不过去，最后说一下，中升奔驰的服务还是不错的，不管是销售还是售后人员，服务态度很好，虽然车子遇到问题，这种服务态度还是觉得舒服一点。空间不用说了，巨大，后排直接可以躺着，我1米八的身高也可以架起二郎腿。新款的直六发动机加48V轻混，0到100加速5.8秒多少人已经够用了。这么大的车子开起来还是不错的，当然不能和宝马保时捷这样的主打运动操控的车子比，接近5.5米车长就是停车有点麻烦。油耗非常满意，目前开了2000多公里，平均油耗只有8.8个油。舒适性挺好的，空气悬架提升了整体的效果，前后排都有座椅通风加热，可惜没有座椅按摩，后排没有冰箱。外观大气上档次，全铝车身增加了车身的强度，可惜不能选装原来560上的小饼轮毂。典藏版内饰只有一种颜色，还不能选装米色内饰，全黑车顶也有一些压抑感。性价比就不用说了，关键是自己喜欢就好，没什么性价比。买车的时候就没有看过别的车，新款宾利飞驰是不错，价格贵，后排的舒适性还不如迈巴赫S级，劳斯莱斯没毛病，毛病就是太贵了买不起，只能选择迈巴赫S级了，要是有米色内饰能够选装就好了，对典藏版的这种黑色内饰感觉还是差一点意思,825,1,迈巴赫S级,苏州?,25 ,34,5,34,5,55,4,30,5,47,5,38,4,33,4,25,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,67970,18,18960,0,49,120,158,1
297,194966339,450典藏版迈巴赫提车作业,13,外观十分的好看，LED大灯十分酷炫，底盘调校十分柔软，整辆车非常的安静，没有一点点的声音。车内的娱乐系统非常的好看，氛围的好看到爆炸。没有一些个性化配置的选择，后备箱空间小的可怜，只能放一点点东西。老板键按完以后，如果需要归位原来的位子，需要一个个调节非常的麻烦。自动泊车不好用。。座椅空间就不说了，五米四的车身，三米三的轴距，就算是两米长腿也能在后排舒展开来。唯一的空间不足就是后备箱容积。。3.0T 直列六缸发动机 拉动这么大一辆车还是绰绰有余。在S挡模式下的动力也是非常的线性，给油就走，没有任何的延时。开起来的时候完全感觉不出在开一辆如此庞大的S级。。操控满分，S模式，方向盘指哪打哪。自己一个人的时候，也可以体验加速的快感。。油耗可以接受，正常开也就在十一二个油左右，但是我平常开车比较暴力，基本都挂S模式，差不多需要在二十多个油左右。在ECO模式油耗差不多十个油不到就可以了.。舒适型没得说了，没有舒适型也不叫迈巴赫了。。外观非常的霸气低调，瀑布中网非常的大气，典藏版的轮毂也非常的好看。。内饰低调中带着奢华，氛围灯效果真的太棒了。其实个人不是很喜欢桃木方向盘，真的对于手感多的人太不友好了. IWC的时钟非常的奢华. 座椅的质感和迈巴赫专用地毯真的非常舒服。开门时迈巴赫的迎宾灯也是非常的好看。。性价比可以说是非常的高了。可舒适，可运动。不仅老板坐的舒服，脸司机开起来都是一种享受。原来的S350 也该退休了，非常喜欢奔驰S的品质，所以还是选择了奔驰S,633,0,迈巴赫S级,杭州?,24 ,55,4,82,5,37,5,76,5,21,5,33,5,103,5,42,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,40458,10,1500,0,0,0,2,0
298,187108238,无与伦比,4,买的相当于基础款，豪华感和舒适感都是无可挑剔的。。车价高，优惠力度太小了，和车价比起来啥也不是。而且配置也不高，选装的东西才花钱吗，而且才能体现档次。。这个级别的车子都不在乎空间，因为后排都是躺着的，要论是否乘坐舒适。如此大的外观尺寸，要是技术不够老道的司机是不好驾驭的。。450用的是3.0T的6缸机，虽然车很大，但是这发动机也很猛，提速超车都很轻松，起步也很安静，加速车内都听不到噪音。很顺畅的加速感只有大排量才能做到，而且全时四驱，加速提速更轻松。。辅助功能挺多的，方向盘很轻，转动几乎不费力气。轴距较大，车身也长，只能找合适的车位。。油耗很高啊，目前使用的平均油耗是17.9L/100KM，这个油耗非常高了，城区走的多。。完美的舒适性，后排座椅宽大，用料很好，手感非常柔软，还有腿托，长途坐车一点也不累。听听音乐，休息一下， 很放松。。超长的车身就是迈巴赫的优势，造型很好看，轮毂的造型虽然很复古，但是气场强大。。液晶仪表连着中控大屏，看着很有科技感，车内整体做工精良，用料好，基本没有异味。。价位实在是有点高，交的税都够买个车了，还没什么优惠。。外观很震撼，超长的车身带来的豪华感无可比拟，车内乘坐舒适，配置高，动力强，迈巴赫的名字听着就是身份的象征。,531,1,迈巴赫S级,金华?,62 ,60,5,90,5,42,3,43,3,56,5,38,5,39,5,26,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,21438,4,1520,0,0,2,0,0
299,54404006,低调奢华上档次,7,后排座椅真是值，一个字：爽，后排空间在轿车里面也算是无敌了，副驾驶基本上不坐，浪费了哈哈哈。。450的六缸机器动力有点弱啊，个人觉得八缸560正好，就是有些小贵，原谅我实力不允许。。空间肯定不用说了，自己开或者坐后排都没得说，后排能让你坐到睡着，翘着二郎腿点一只82您的雪茄，哇塞，爱死那种赶脚了。。S450六缸机器，从地库爬坡缴费的时候感觉要别熄火的感觉，因为我们地库太陡，平常高速上跑起来那是一个爽，时刻看着速度，超速罚得你没脾气。。因为经常在Ben跟BMW直接来回换车，除了车身长，在拥堵路段不太好加塞，其余的时候觉得也可以，你总不能跟开超跑一样把坐车的人带吐了吧，哈哈哈。。平常在市区来回上班油表显示13-15之间，这个也看堵车情况，高速上就好很多了，不暴力驾驶保持在11左右。。目前感觉手里所有的车就算迈迈乘坐最舒服了，因为减震好啊，虽然没有宾利劳斯莱斯贵，至少坐奔驰这句话流传很多年了，跟以前的S350比起来还是有区别的。。外观我就不想说了，要不是窗子边上有双M大伙都以为是台S，不在乎哈哈哈，本来这就是种低调，你说它是BYD都行。。选的米白色，不喜欢黑色跟棕色的，刚好有一台米白色内饰，确定过眼神就是它了！。要不是商务接待跟后排的座椅吸引，我可能会更喜欢S450，那空间也足够了，只不过多了三个字：MBH。。平常商务接待，马爸爸的S62买不起，还不能来个最低配的吗？哈哈哈??,595,1,迈巴赫S级,北京?,274 ,58,5,68,4,71,5,52,5,73,5,54,5,37,5,49,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,11365,5,11360,0,0,29,2,0
300,28754626,颜值出重，霸气十足,9,后排座椅的舒适度，高级感到位软软的头枕。。提车5天左右吧，中间的屏幕出现过一次黑屏。。5米46的豪华行政级轿车，车内空间自然不是问题。。加速方面起步并没有想象中的那么猛，高速上跑到120码以上动力输出还是挺强劲的。。车好开，就是有时候市区停车不好停，车太大了。。个人感觉还可以接受的，毕竟是豪华行政轿车。比12款宝马5系省油。。后排座椅的舒适度，高级感到位软软的头枕，也是相当舒服的。。颜值出重，霸气十足。回头率也挺高的，总之挺满意。这车到晚上那个内饰氛围真的是太漂亮了，（移动KTV），加上柏林之声的音响，开着车听着歌真容易睡着的。。总之各方面都挺满意的，只有一点买了这车之后，少不了借车跑婚庆的。提车5天左右吧，中间的屏幕出现过一次黑屏。。开宝马坐奔驰，后排空间宽敞，内饰氛围，商务应酬,345,1,迈巴赫S级,北京?,128 ,24,4,39,4,22,4,32,4,28,5,23,5,50,5,53,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,23,28145,14,9750,0,0,15,4,1
301,25858867,迈巴赫S450非常满意，完美的行政豪华车,20,舒适性，外观，车身长度，内饰，同价位区间同级别无对手，王者风范，引领天下之势。车子真的很大很长，停车场不好找停车位，家里的车位要换个更大的了，位置太小真的不安全。后排可以躺着睡觉，5466的车长，细品，相信迈巴赫。高速完全够用，而且这种大型车也不是拿来飙车的????。没开过宝马，迈巴赫方向盘特别轻，转弯半径很小。很省油，毕竟轿车嘛，流线车身，风阻小，肯定比揽胜卡宴省油吧????。完美??????????????????????????。豪华，优雅，商务接待首选，车灯特别好看，侧面修长。买氛围灯送车，自己体会，晚上就是移动的夜店。很好，最近不加价??????????????????????。家里有个E级，纠结卡宴，帕拉，和迈巴赫。去看了卡宴，卡宴在越野车里又显得太小，揽胜(都说毛病多)大G都比他大气，帕拉试驾感受就是：车型外观和动力无解，但是舒适性和商务方面还是不太足，那个加速跟坐飞机起飞一样推背感。最终还是选择了迈巴赫，为了以后不后悔,423,1,迈巴赫S级,天津?,5 ,25,5,26,5,22,5,33,5,28,5,24,5,21,5,30,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70,76073,22,8100,0,2,23,10,0
302,98025431,豪华的内饰因为我定制了4座版外白,16,内饰宽敞！长途用车不累！！！！还有选装了4座版 加上白色的外观！。450不让选装大柏林！自己外面升级了一套8w 还有智能驾驶 夜视系统等等一些配置！。空间不用说，完全吊打B那些车！☆ 空间设计亮点：宽敞，侧躺睡都没问题！。总体来说还是可以，因为都是司机开！自己很少碰方向盘。虽然车长但是操控性很好，整体来说不会笨！。百公里油耗14升左右 3.0T算可以了，司机开的比较顺，没有暴力驾驶。。。。舒适感很强，虽然没有680菱形格座椅柔软，但是这个价格已经可以了！。三条线的大灯是最漂亮的了，加上我选的外观砖石白！。内饰很温馨，低调奢华有内涵，特别是真丝米色！。除了，天窗破裂过，没有其他问题！木前还没有出现过什么故障！。梦寐以求的一款！别无选择！一生钟爱迈巴赫！ 起初喜欢帕拉梅拉后面坐到了迈巴赫过段就是这个座驾，吊打B,358,1,迈巴赫S级,厦门?,637 ,60,5,25,3,20,5,37,5,33,5,24,5,22,5,29,5,1,0,0,0,1,1,1,0,1,0,0,0,0,0,3,5803,4,5380,1,3,4,9,1
