空间评论,空间评分,动力评论,动力评分,操控评论,操控评分,能耗评论,能耗评分,舒适性评论,舒适性评分,外观评论,外观评分,内饰评论,内饰评分,性价比评论,性价比评分
这个级别空间都没的说,5,只能说一般，高速s档够用,5,没有操控,2,高速7到8个，市区的油耗还好。,5,舒适性我老婆怀孕总是坐副驾驶，据说很好，我就没啥感觉了。只能说都差不多，隔音挺好。,5,外观大灯挺犀利的，自己改的s65包围，电动感应后备箱。轮毂没敢动呢怕舒适性没有现在好。,5,最喜欢中控了,5,最开始考虑的XJ跟奥迪A8毕竟价格诱人，但是捷豹小毛病害怕奥迪内饰一般再加上家人都感觉奔驰的内饰好点就选驰,4
空间没得说 很好,5,地板油我自我感觉很好 毕竟3.0吗 已经不错了,5,操控就是觉得方向盘太轻 驾驶起来没有意思,3,差不多 买这个车也不在乎油,5,后排舒适性没得说啊！简直太舒服了,5,没有amg的外观好看。但是也很帅,5,新款奔驰内饰真的很好,5,性价比超过宝马奥迪 这个没得 好的好的回电话你是还是不是的啊兄弟，的啊兄弟，的啊兄弟，的啊兄弟们都没钱$_$钱??钱袋子，？的！的啊！？的啊！！额⊙o⊙…⊙o⊙…⊙o⊙…⊙o⊙…⊙o⊙…⊙o⊙…⊙o⊙…⊙o⊙…⊙o⊙…额，的啊！！,5
车长5米20几，后排空间非常充足，老婆孩子可以愉快的玩耍,5,总体来说动力还不错，只要给油，动力还是不错的,4,s级基本可以满足，但是谁又会把它当跑车开,4,现在基本都是上下班代步，没上过告诉，油耗还可以接受,4,后排座椅舒适度很好，包裹性好很柔软,5,这一代的s级真的是高端大气上档次，同级别真的很难找到对手,5,眼睛看得到的地方全部都是真皮，氛围灯大爱，晚上非常漂亮,5,2016款商务这个级别的车没有电位门，没有座椅记忆，前排没有座椅通风还是有点遗憾,5
宽敞啊,5,完全够用了,5,开着挺舒服，我可以安静的开车,5,可以接受啊，毕竟动力总成在那里呗,5,完美,5,还不错,5,完美！,5,还不错吧，总之结合日常使用和价格而言，这车还算不错，因为我有其他车，各司其职，对应需求而言挺不错的选择，反正我觉得比SUV无论坐着还是开着都舒服太多了，这完全没有可比性啊，因为我无论坐车还是开车都是一个半瘫状态，没得救了的，哈啊哈,5
这个级别的车，横向纵向空间都够大，除非有特殊需要，可以满足99%的人,5,320的动力，够用，不澎湃，满分100，能打80分。,4,这么大的车，转弯半径小，是优点，用了运动底盘，明显支撑力变好，变道切线也是随心所欲。,4,油耗没统计过，可能13升上下。,4,舒适模式，忽悠忽悠的，像个摇篮,5,改了S65的包围，换了OZ轮毂，比原厂年轻一点，也更适合我的年龄，S级的外观其实很低调，在车河里不会太显眼。,4,目前为止还是很喜欢的，没有审美疲劳，内饰处处彰显奢华和精湛工艺,4,320豪华版性价比要好于商务，商务的配置实在是太low了,4
这个级别没的话说,5,油门比较重 但是后期给油还是很快比较稳不急促,5,小颠簸完全过滤,5,市区十三个油 高速最低八个油 3.0T很好了,5,悬挂座椅很舒服,5,最喜欢的就是尾灯设计 有迈巴赫的感觉,5,用料没的话说 大量真皮镀铬跟木料,5,不给满分因为维修费用比较高,4
只有一个字 又大又美,5,换到运动档 随叫随到的感觉,5,空气悬挂不是吹的,5,感觉略高了些 还能接受,4,很安静 毕竟这是奔驰,5,凶不凶一看便知,5,完美就是形容她的,5,马马虎虎，主要看个人的喜欢 喜欢了也就无所谓性价比了 毕竟是上百万的车了 各位主都不是很差那啥,5
大，后排乘坐舒适,5,很强劲，一点油门就来，没敢开S档。,5,灵活，方向精准,5,市区12.1，郊区8.5，高速8.0,5,很好,4,看上去很霸气，开出去很多人都要看上一眼,4,新颖,5,比7系、A8高,5
这个级别了，没什么说的。但是比7系的空间可能稍微小了一点，因为还有家里还一个7，每次人多得开那辆。,5,动力跟充沛。加速很稳。,4,不错。挺精准的。超车也挺稳。180码以下没有什么特别不好的感觉，很稳。,5,市区经常16-18，市区油耗高，提速经常有抖动，变速箱垃圾了一点,2,不用多说，悬架这么软，坐在上面很舒服。,3,流线型比上一代棒很多，大灯很鲜艳，不过现在也变成街车的节奏了。,5,用料考究，做工精良，通风座椅很舒适。,5,后来的320性价比高很多，除了动力差一些，320豪华的配置好了很多，对第一批买400的车主很不公平，无钥匙进入，电尾门这些都是后期加装的。,3
空间大车身长，市里面停车的时候有点麻烦，车身长。,5,足够强大一班商务用车够用了，,5,操控性能非常自如尤其是弯道非常的自如，提速还可以，差那么一点点，,3,还不算太高 可以接受比一般车要省油多了，,3,座椅非常舒适，隔音效果好，开启的时候基本上听不到外面的一切杂音包括发动机音，,5,外观满意适合商务用车，有点高大上。,3,内饰做工都很精细小细节处理的非常好,3,这辆车性价比超高动力十足就是没有舒适进入，电尾也是另加的。,5
空间舒适，后排可以翘起二郎腿，,5,3.0低功率。272绝对够用，谁会开s级去飙车呢,5,方向好轻，感觉一个手指都能勾住，但是跑高速会比较累胳膊,4,油耗完爆了我的2.0X3，真想不到这么省油,5,当时提车选装了后排的电动座椅，3.5万大洋花的挺值，在后排可以翘起二郎腿，高速在车里说话很随意，基本没什么噪音，,5,绝对领先同级别三到五年,5,基本上手能触碰的都是真皮，新的设计也非常完美,5,买这车没什么性价比可讲,3
空间大，储物空间合理,5,毕竟是舒适型车，所以忽略动力,4,专项还比较扎实，倒车时非常简便而且稳,4,市区里面还可以，11.5/100 告诉的话差不多在8.5左右,4,非常舒适，而且是也很好！换了20寸轮毂还比较帅气，不损失舒适,5,高端，奢华，换了AMG轮毂也没觉得算是多少舒适性，反而外观很赞。,5,紧致有内涵，最喜欢两幅方向盘还有两块12.3的大液晶显示屏幕。,5,这个价位的车就不考虑性价比了！毕竟S没有便宜的。,5
还可以吧，反正我是够了。,5,还可以，7.1秒百公里加速够了，但是还是觉得272马力调的偏保守了一点。,5,还可以，转弯挺灵活，指向性也不错。,5,我开车很温柔，13到14个油,5,座椅柔软，宽大，挺爽的。,5,非常漂亮，装*神器。,5,半复古，半科技，very good！,5,特别高,5
空间很大，尤其是后排空间。架起二郎腿都没问题！,5,动力一般，中段涡轮介入，加速还是很猛的。只要你舍得深踩，S档油门重。,4,运动模式，方向盘变重，地盘降低，还是不错的。,4,纯城市里面开17个左右，综合15个。高速多的话12个。,4,很好，前排座椅该有的调节都有。,5,大气,5,基本都是真皮包裹。,5,自己开，这个级别，320绝对性价比最高。。。,5
空间满意，本人 176cm做好后头顶还有两指多，前排调整好坐姿后，我在做后排甚至可以盘起二郎腿,5,在同级别车里算是比较不错的了， 2.3.4.档时稍加油门，会有推背感，家庭用车，这样的动力绰绰有余,5,方向盘操控感不错，档位清晰，并且行程很多，给人感觉很通快，刹车。油门感应很灵。就是离合的间隙稍微大些，自由行程大些，不知道是否可以调整,4,前天刚加满油箱，我开车算比较冲点，每次都是洪很大油门才会一起，300元钱跑600公里,4,0,5,0,5,0,5,0,5
空间对于我173的身高来说、座后排翘二郎腿是搓搓有余的！,5,谁会开这车去飙车、一般超车没有问题！,4,开宝马、座奔驰。真的像开船一样、一摇一摇...,4,新车油耗、现在比较高、估计正常下来也就10个油左右吧,4,舒适、超级舒服、座在后排的朋友都说奔驰座起来是最舒适的.....,4,这么长的车身、外观能做成这么美也不错了,5,豪华、对中控台太爱了,5,比较不错、商务的够了,4
乘坐空间够用，后备箱个人觉得小了点，鄙人是卖酒的，1x6的酒也只能带个5箱????,5,动力够用，毕竟还有个s档,5,方向灵敏，毕竟这个级别的车,5,目前还很满意，毕竟才140公里,5,开起来舒服，乘坐更舒服,5,无可挑剔,5,内饰很科技,5,个人觉得办公商务型已经够用了，同级别中性价比很高，面子也最大。,5
空间够大了，车太长停车掉头都要谨慎。,5,奔驰踏板很重，开着习惯慢悠悠开，动力够用。,4,操控没问题，就是太大不够灵活。,5,高速油耗最低不到8L 市区12-15L 平均12L,5,一些配置的声响明显，总之不够安静。,5,外形满意，能改装一下更好了。,5,用料好，但新车型一些细节做工设计不到位。比如控制面板暴晒会很热。,4,性价比高,5
0,5,动力的话绝对够用，,4,操控的话还可以啦,4,新车油耗都有点偏高正常,5,舒适型没话说刚刚滴,5,上一代的沉稳，这一代的年轻个性,5,绝对棒棒的，坐过这车的都说好看,5,性价比居中,4
宽敞，后排舒适。,5,低功率3.0在市区够用，开快车要开运动模式,4,车身长度原因，没有操控可言,4,可以接受,4,很好,5,新款外观很好看，比老款时尚很多。,5,非常豪华，完胜宝马奥迪,5,还可以,4
0,5,0,5,0,4,满足,4,0,5,0,5,0,5,0,4
四个成人可以坐的很舒服，尤其短途,5,在同等排量的车子当中加速性一般，开运动模式后好很多。,4,转向一般，18寸胎拖了后腿。开运动模式后比较好。,4,目前没有出磨合期，加上都是在市区，油耗一般。跑过一次高速，百公里9个油，还可以接受。,4,前排很好，后排由于不能调节，不如前排。空气悬挂很软，很舒服。,5,非常满意，设计时尚大气。,5,用料高档，做工精细，每个按钮手感都很好。,5,价格一般，配置低。,2
够用,5,够用,5,灵活准确,5,15升一百公里，高速10升,5,十分舒适,5,尊贵大气,5,百万级别最好,5,一般,3
很大了，其实95%的时间就是我自己开,5,没有之前的奥迪A6L 3.0T加速快,5,这么大的车操控就是不强项，但我也过了追求速度的年纪,4,其实比之前的奥迪省油,5,没话说，非常舒适,5,感觉具有复古的优雅，还不失霸气,5,内饰看起来很漂亮，就是浅色不耐脏,5,性价比就是仁者见仁的事情。S320L我觉得是S级里面很有竞争力的一款,5
空间不仅大，而且设计的很合理；,5,加速初期一般，但是中期、后期加速都非常不错，特别适合跑高速；,4,驾驶起来轻松安静，不急不躁,4,目前4万多公里，综合油耗在11L左右，高速非常省油大概7~8L；,5,座椅通风、氛围灯、香氛、靠垫、头枕等营造了非常好的舒适性；,5,外观比较运动，时尚，尾灯的设计特别漂亮；,5,内饰无疑是这一代S级设计最成功的，让人眼前一亮，过目难忘；,5,性价比就一般了，这个主要是看气质,4
都没的说.乘坐空间很宽敞舒适.储物空间中规中矩……,5,333的马力……不飙车作死.怎么都够了吧……,5,避震不错……石子路感觉不大.操控也很不错,5,高速定速巡航油耗可以达到6.4……市区12-14,5,都完美……最好的就是舒适性,5,大气且时尚……再也不是老年成功人士专车了……,5,完美……,5,总体配置都很满意……几个低端的实用配置反而没有,5
后备箱还是小了点，装高尔夫球包有点挤。,5,低功率对我来说够用了,5,没想要BMW那么好的操控，可是这一代s绝对不是盖的，包括操控。,5,第一箱油跑了20l以上，吓坏宝宝了，平稳驾驶最低跑到8l，现在平均13升，还可以接受。,5,舒适无比,5,符合我的审美标准，后期被我贴了点广告上去，儿子强烈要求撕下来，说影响美观了。,5,满意，不需要再加任何装饰了。,5,低价位的时候入手的，所以感觉超级棒。,5
很大真的很大,5,足够用了，动力挺强的，起步我觉得不肉,5,车身比较大所以操控不是很好吧,5,这个吨位的车，12L油耗不高吧,5,舒适性不用说了吧,5,比老款更加年轻化了，灯做的很好,5,内饰无敌,5,价格有点高，优惠收了,4
空间在这个级别已经不是考量因素,5,奔驰一贯的动力风格、沉稳有力、不唐突不疯狂、稳中渐进、恰好迎合了奔驰引以为傲的舒适性！,5,得益于方向盘可变转向比、让D级车难驾驭不再是诟病！,5,心里承受范围内,5,谁敢跟奔驰汽车舒适性叫板！,5,满意、但略显保守、可以更大胆！,5,同级标杆！,5,唯一不打满分项、如果单纯同级别车型车辆价格那性价比还是不错的、就是配置与车辆级别划分不对等、所以不是很完美！,3
空间不能用够用来形容了，非常够用,5,4.7的涡轮增压，有条件的时候就是踩啊，怀念欧洲的高速,5,稳稳的，没什么激烈驾驶的欲望，,5,刚提车油耗还有点高，跑跑就好了,5,比这舒适的车也没有太多了，尤其是后排，,5,比起老款的S外观感觉更年轻些，年轻人接受度也高,5,美规的内饰有点儿老气，,5,这车这没啥性价比了，不过要是跟迈巴赫比，还是便宜不少，而且舒适度并不差太多,5
空间刚刚好，对我190来说迈巴赫也躺不下，座着普通版就已经很舒适了,5,舒适稳重为主，动力随叫随到，充沛，足够我用了,4,方向很轻，比老款强了不止一星半点，开起来很从容，适合长途驾驶,5,这个还在磨合期说不准,4,挺棒的，超级满意，应该也没有更好的了吧,5,相比颜值很多的是气场,5,棒棒棒！,5,豪华是最高的了，因为整车豪华氛围提升不止一星半点,5
0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,4
非常宽裕的空间 不管是后排还是后备箱 都非常大 适合自驾游 商务接送,5,动力在S档非常充足 加速迅猛且不难受,5,操控一般但是一般驾驶足以,4,17个综合油耗 市区为主 个人驾驶习惯偏暴力,3,普通模式悬挂非常软有种坐船的感觉,5,大气的外观 商务又带点运动感,5,内饰完美 同级别最强 精致的挑不出一点瑕疵,5,由于是高配车型 所以价格也偏高 性价比 比较一般,4
后排无敌,5,加速还是算了，也就1.6高尔夫水平，甚至急加速还没有高尔夫感觉好,3,这代奔驰操控完全达到b级车标杆的水准了，操控最好的一代s级,5,市区轻松16 的油耗，高速10左右，我市区多，长途有别的车,2,后排好舒服，前排就那样了，开什么车都累,5,年轻化 ，没有上一代霸气了，迈巴赫s500外观还可以，买不起,4,成交价同是100万的车，绝对奥迪最好，谁叫咱想要个逼格装呢,4,最高了，这么便宜的奔驰s，上一代中期改款后才出来便宜的300配置那叫一个寒酸，这代配置真的很给力还便宜，逼格装高就指着它了,5
还可以！在大了就没有安全性了，坐的害怕!,4,很足，,5,不错，,4,没计算，没感觉费，也没感觉省！买这车这个就不考虑了！,4,很好！,5,文质彬彬，不够凶猛，单个看的比较小，但是和其他车停到一起就感觉大了！,4,除了车顶不是真皮，其他都喜欢。,4,0,4
后排能做大动作,5,开大奔S了不要那么冲,4,不错,4,还好,4,好好好,5,没老款霸气但是很有感觉，真美,5,内饰好有质感比奥迪宝马看起来高几个档次,5,，比奥迪A8.45TF和730贵了20W，不厚道，没电尾，但是有电吸门，够了,3
加长版空间非常大，前排空间宽敞，坐在后排那是享受啊。,5,发动机动力还是不错的，加速非常很快，推背感很强。,5,操控很不错，车子虽然大但是很灵活，操控起来没有难度。,5,满意,5,舒适度非常好，坐在后排的时候很安稳，车子隔音也很到位。,5,低调缺不失大气，流线的车身，丰满的车尾。,5,桃木内饰非常豪华，真皮包裹的中控，人性化的设计，很有档次。,5,性价比就这样吧，有钱就是任性！,5
足够,5,充沛,5,轻松,5,综合油耗 9.6L/100KM左右,5,良好,5,大气,5,有科技感,5,极具性价比,5
空间还是很大啊！！,5,320的动力真的很是一般啊！！油门太重啊,3,操控很一般，空气悬架还是很舒服的。,4,市内太高大概20L平均速度太低，高速大概9L！！,4,乘座很舒适的无论高速还是毛马路都是很能舒服的。,5,出门还是很牛皮的啊！！,5,还是很不错的啊！！,5,商务的性价还是很不错，就是配置太差了啊！！,4
满意 本来个子就不高这车真的很宽敞,5,还算可以 踩油门有推背感就是有点肉,4,还可以,4,可以接受,4,满意,4,漂亮,5,满意,4,一般般 买的比较早 宁波地区没什么优惠,4
小编能不能智能点儿，都D级了，还问空间干什么。,5,V84.0T动力随叫随到。深踩7G变速箱马上降档。提速爽，当然都开D级了。急加速的时候太少了。目前也没超过100km都是自己父亲用车，60多的人了，其实6缸就够用了，但是老爷子就喜欢8缸,5,上面都说了，60多岁的人了，你还讲啥操控啊。D级车开的稳当就行了。,5,油耗从没考虑过。8缸也就那么回事20个油。,5,这个没的说，不过唯一遗憾是没有热石按摩。,5,外观大气。平时就停家。就是大。,5,喜欢氛围灯。顶子必须吐槽200多W跟20多万的B级车用料没啥区别啊，哎，也难怪必定不是600,5,车都买了。还有什么性价比。这问题很脑残。举个例子，平时就家用，开个QQ都行。那能买一遛了。有什么可比的。又不商务接待，就家用,5
S级空间再不够用的话，就得上大客了。,4,3.0双T 还是底气十足。超越上一代400。,4,5.2米车身，以及这车舒适为主得调教，这操控还是不错的。,4,这个级别，这动力，相对油耗还是很满意,4,没得说，肯定舒服,4,见仁见智，个人觉得不如上一代。加上这代开始的套娃，很不爽。,4,用料差也不好意思叫奔驰S，还是挺满意,4,其实不错，就是买后，这车新车跌的太快。,3
空间很满意，后排太大了,5,加速很猛，高速没跑过，最好高120,5,奔驰s本身就没操控可言，定位不一样,4,10个左右,5,舒适性没得说,5,0,5,内饰就不说了，买s的一大理由就是内饰太赞了,5,性价比说实话不高，和a8 45豪华有差距，但不影响家人买的热情，毕竟奔驰旗舰了,3
0,4,0,4,0,5,0,4,0,4,0,5,0,5,0,3
这个轴距了，没说的，挺好。,5,3.0T中规中矩，别指望飙车，一般用足够了。,5,偏舒适的调教，就没有操控可言了吧，不过也算不错了，个人觉得比同级别的A8和辉腾强，还有比上一代强。,3,我市内和高速一半一半，综合油耗12个，非常满意。,5,还有啥好说的，虽然是商务性，但是舒适度绝对是标杆。,5,智者见智吧，我觉得还行，只是后悔没买白色。,5,比起上一代或者说同级别来说的话，我个人觉得是最好。,5,高,5
挺满意，后排很大,5,基本满意，在这个价位的车型上来说,5,还好，比较肉,5,15-20个油都开出来过,3,不错,5,漂亮，但是s越来越多也是已经审美疲劳。而且奔驰最近也开始走套娃路线。还是争取以后换宾利劳斯莱斯,5,同价位车型相比a8和7系内饰艺术感强不少,5,。。。没啥性价比,4
除了扶手箱浅别的都不错。就是点烟器和前面放水的空间有点冲突。,5,还好吧。S模式还不错。有推背感。自己的车刚接还没舍得S模式。试驾车踩了下油门还是很猛的。,4,转向精准，底盘好扎实。,5,还没怎么跑了。就不多做评论了。,4,这个真没话说，很好。,5,赞,5,因为定棕内等了20天，但是没白等很好看。,5,优惠幅度还可以吧。新换代的车已经算不错了。,5
满分还说什么呢,5,运动模式也很屌,5,要调运动模式就接近宝马，但也是接近,4,合适而已,4,座椅软又大，皮子很容易刮伤,5,低调的流线，大气稳重,4,质量杠杠的，不论车漆还是钢材铝材，皮质音响，我买的车里做工最好的了,5,这个时候出手应该非常划算了,5
很大,5,一般吧，不过这么重的车身也没什么好说的了。,3,5米多的车身就没什么操控可以说了,3,磨合期油耗有点大百公里20升,2,座椅柔软性非常好,5,外观霸气外漏，回头率太高，我这种低调的人开着有点小羞涩,5,极致的奢华,5,性价比必须还是奥迪A8最好，奔驰次之,4
0,5,0,4,0,5,0,5,0,5,0,5,0,5,0,5
D级车，空间没什么好说的。,5,够用了，深踩油门有一定的推背感。,4,谈不上。,4,正常油耗，可以接受。,3,ABB里最好的。,5,感觉没有上一代霸气。,4,无可挑剔。,5,很高。,5
非常完美,5,动力够用,3,操控有所提升,4,不省油，感觉被油电混合骗了,4,舒适性不错,5,大气上档次,5,很漂亮,5,没有性价比可言,3
满意 后面坐着舒服 可惜我是司机,5,可以 刚提车不久 基本在2000转内 还算可以,4,老车开习惯了 需要一点时间适应,4,平时走高速比较多，上下班开比较耗油 18-20升/百公里 走了一次高速在 11升/百公里 左右,2,可以 坐后面很舒服,4,可以 新款很时尚 作为30岁的左右的年轻人也可以选择的对象了！,4,可以,4,偏高,4
空间足够大 做过最宽敞的车 当然公交车 火车除外啊,5,感觉提速一般 不过也没人开这车比提速 妈妈再也不用担心我开的开得快了,4,反正我开起来毫无压力 中控操作简单 容易上手,5,3.0T 百公里综合15个 完全满意,5,后排乘坐相当舒适,5,怎一个漂亮了得 绝对帅气 拉风,5,同级别车最棒 没有之一,5,毕竟是最新一代 肯定不如换代的车性价比高 但是如果你真喜欢 都不是问题,5
空间够大，有点空旷,5,加速平稳，动力强劲,5,0,4,油耗超预期，这个排量原以为高架怎么得都得15-16个油，市区20个油，2000km下来非常满意，市区15左右，高架混合道路13左右,5,座椅舒适，隔音非常满意，悬架柔顺,5,外观比上一代年轻,5,0,5,这车在中国没性价比可言，只能说有这个性能的都不便宜，只能是相对合适,3
这个级别就不用说了,5,低速时油门不是很灵敏,4,一流，一流到让人放弃暴力驾驶的欲望,5,能开的上这种车的人如果再谈油耗的话就感觉车是租来的！,4,前排没什么好说的，后排觉得是豪华版的点睛之笔，柏林之声的音响绝对不是盖的,5,外形优雅,5,做工精细，设计颠覆了现在汽车的观念像一个工艺品,5,这个没什么好说，上了100万的车毕竟市场有限，一个愿打一个愿挨,4
感觉不错,5,一般般,4,操控一般，刹车系统滞后，有安全隐患。,4,耗油量大，与说明书严重不符。,2,感觉不错,3,0,5,感觉不错,5,很一般，不值这个价,3
很大，只是后排不可移动。,5,动力一般，毕竟是低功率3.0T，能接受。,4,操控？这个车应该不存在操控乐趣可言，方向盘倒轻，油门尤为偏重！,4,我目前7000公里，百公里11.7的油耗，还算欣慰。,4,很安逸的乘坐感受。,4,大气时尚。,5,精致科技。,5,相对于其他同级别的车很一般。,3
不错,5,还好,4,还好,4,能接受,3,不错,4,很好,5,很好,5,太低,1
前后都很大 这类型车 没人关注空间 大多都 大到多余了,5,舒适模式和运动模式下 油门都很重 平时上下班运动模式加运动地盘 不然超车很没底。动力总体上够用,4,0,2,有启停省去不少油。郊区10 市区14,3,后排舒适性比前排好太多。 但有同事做后排说会晕船。。,5,奔驰新的家族脸谱 少了庄重 多了 运动。看久了也挺好看的。,5,简约但很有品质。,5,谁会去考虑这个,4
空间充裕，符合D级车的空间,5,3.0升v6双涡轮增压，272匹马力，和400差了60匹，不过感觉不怎么出来，毕竟百公里的差距在0.3s,3,转角半径很小，转弯精准,4,目前1333，百公里油耗15.3l,4,开宝马坐奔驰这句话是有道理的，奔驰坐得超舒服，奔驰始终坚持座椅自己设计自己制造始终追求高舒适度，,5,溜背设计，有点古斯特的感觉,5,七色氛围灯，双12.英寸大屏幕,5,D级车里性价比不是最高的，但是最舒服的，D级车的标杆,4
空间宽敞、够大，乘坐舒适，敲二郎腿，伸腿靠背都能找到舒适位置，五座中间位置偶尔还是用得上的,5,动力够用，无肉车只有肉人，要比起步就要舍得给油，但肯定没其他非商务定位的3.0T车有提速激情（但这也正是这车的定位）,4,始终觉得其方向盘偏小，握住和转动起来感觉上转角不够，但实际上其可变转向比已完全适应，这么大个车掉头转弯、甚至急弯毫不费力，操控感还是比较强，操控起来比上代要轻松舒适，甚至比7系长时间驾驶也要轻松舒适些，已达到预期。仅短时间的操控指向性及感觉上的精准性7系还是要强一些。,5,高速巡航油耗挺低的，正常驾驶、不大脚油门大脚刹车的整，这车油耗不高，反正不管什么车，油耗还是要看使用的路况及驾驶人的操作方式。我自己开的车油耗都比较低，朋友开我车时油耗往往都要比我高1个多油，就是喜欢急起步急减速,5,前排座椅通风通风在南方才是适用的，其他方面更不用说了，舒适性是综合方面的体现，这个级别的车相差都不大，这代好像比上代偏硬了一点，要软还是得雷克萨斯,5,人的审美观都不同，有人觉得这代的外观很喜欢，有人更喜欢上代的外观，但从工业设计角度及个人审美来看，这代S的外观都有很大的提升，更年轻的外观也使其客户覆盖面更广,5,工业设计之典范啊，艺术品似的设计，用料与做工都十分到位，谁看谁喜欢，氛围灯也起了点缀作用，称之为艺术品也不为过,5,至少从目前来看，对比以往S的定价及优惠幅度，现在购买其性价比还是略低于7系和A8，但从其自身来说，个人性价比还可接受,4
乘坐空间没的说，储物的地方很多，但是方便放手机的地方少了点！,5,3.0T 272匹，家用足够，很多人说起步肉，那是因为奔驰是2档起步，油门重，不让车起步时一冲一冲的，加强了安全性,4,操控性在D级车里算好的，很稳，安全感十足,5,耗油不像工信部说的那一11.7低的离谱，实际都在14以上，在城区！上高速最低开过一次7.6，这么大的车这个耗油算是满意，又要大，又要动力好不耗油真不可能,4,舒适性很好，座椅柔软，悬挂减震完美，底盘韧性好，并且扎实，标准的德国风格,5,硕大的中网和流线型的大灯中和的很到位，犀利不失优雅,5,就冲着内饰买的,5,这价位就是面子工程，没几个绝对性价比的,5
前排后排都很满意,5,够用了，高速开到160还有源源不断的动力,4,这个级别的车，就不讲什么操控了，转向还是精准的,4,油耗不错,4,空气悬挂足够舒服,5,这一代S级的外观个人更喜欢前脸，尾部45度说不出的味道，不过外观这个东西见仁见智了,5,内饰是这一代S级的亮点,5,优惠下来价格还可以,5
0,5,0,5,0,4,0,4,0,5,0,5,0,5,0,4
足够用那个,5,满足日常绰绰有余,5,还可以,5,对于过两吨的车油耗还是可以接受的,4,乘坐感觉非常好 隔音效果很好 对路面颠簸过滤干净 悬架支持到位 符合这个价位,5,车头比较大气 大灯科技感强 车头的立标在驾驶室看给人非常自信的感觉 车位优雅动感 车身设计过渡顺畅,5,豪华感太强烈 做工精致 物料搭配合理 氛围灯梦幻科技 真皮座椅柔软贴合,5,还不错即便同等价位配置低点但是它毕竟是奔驰,4
非常空旷。呵呵呵。。。只能用这个来形容了。,5,动力还不是很清楚。因为新车还没有舍得狠踩。当时买车的时候试乘试驾的车坏了。所以没有体验到这车的提速过弯。有点遗憾。不过商务用车已足够,4,操控有点大。现在已经习惯过来了。觉着很不错哦。,4,很好。可能是刚开始还不舍得狠踩吧。,5,不错,4,外观完全可以混充400了。稍微已改动那简直就是600.呵呵呵。。。。,4,很高大上,5,性价比不错的。不过商务型的私家用车一些实用的东西也太少了。,5
D级车，轴距超过3.2米空间相当富裕,5,虽然是S320L，但是相对以前自然吸气的S300L已有很大提升，涡轮的功劳功不可没,4,相对老款S，悬挂已经有明显的进步，运动模式和舒适模式下操控对比明显,4,非常满意，北京市区上下班代步油耗可以做到12个左右,5,坐垫柔软，隔音很好，乞丐版也有电吸门，后排电动遮阳帘也很显档次,5,钻石银的颜色非常适合年轻人，不商务,5,吸引我买车的最大优点，这种设计感其他竞品暂时做不到,5,感觉还可以，虽然优惠不及竞品，但是乞丐版也标配了很多竞品乞丐版不具备的配置：LED大灯，氛围灯，电吸门等等,5
宽敞,5,作为一款轿车很不错，强劲有力推背感足,5,很顺畅,5,不算低，但也不离谱,3,非常舒适,5,多了点活力，比较喜欢,4,非常喜欢，中控、仪表盘、氛围灯很漂亮,5,一般,3
足够大，后排翘个二郎腿随随便便,5,买S飙车吗？？成熟稳重是大多数开S的写照吧，绝对够用的动力,5,精准,5,目前是11.9，大多数都是在城市里开，成都堵得很，非常满意的油耗,5,开起来路上没什么颠簸，，这个奔驰做的很好,5,不需要说了吧，侧面还有点迈巴赫的味道,5,超赞的，顶级的水准,5,一般吧，，其他品牌都是几十万的幅度，这也是我选择奔驰的原因,4
绝对大，对于185身高的人来说，空间也足够奢侈,5,起步很平稳，动力足。上高速有安全感，车重很给力，给人很稳妥的感觉。只要肯加油，推背感足够强,4,方向盘转向精准，比较轻，低速时方向盘很轻松，这一点不太好,5,拖着2吨的车体，城市道路大概11-13，还是有点高,3,车内可以跷二郎腿，随意摆舒适姿势，开了朋友的宾利飞驰也就这样这样的感觉，个人感受不喜勿喷,5,我想说两个大车灯很满意，可以么,4,皮革包裹的仪表盘精致豪华，科技感十足,5,我只能说真的很一般，A8可以甩S320好几条大街了,3
空间很大，完全满足日常需要,5,动力也很不错,5,操控也很满意,4,油耗不是重点，可以接受,4,坐过的人都说好,5,外观相当满意，很显霸气,5,内饰相当豪华，让人感觉很舒服,5,我觉得S320商务版的性价比非常高，自己开很满意,5
足够大足够舒适的前排后排空间,5,3.0带增压足够用了,5,这车追求的并不是操控,4,比较合理,3,再次强调开宝马，坐奔驰,5,很漂亮,5,很精致的内饰，搭配和用材都很好,5,新款车有这个优惠已经很不错了，性价比在BBA中算是比较高的了,3
